Loot Monitor | Starting Chest Checking
33 17 | C: 0x645f4d Ref: 16770251
34 17 | C: 0x605b4b Ref: 16770251
7 28 | C: 0x08341d Ref: 0x488DD8
8 28 | C: 0x063419 Ref: 0x488DD8
9 28 | C: 0x061d11 Ref: 0x488DD8
10 28 | C: 0x0a1f17 Ref: 0x488DD8
1 18 | C: 0x79765f Ref: 16770251
2 18 | C: 0x79765e Ref: 16770251
3 18 | C: 0x79765e Ref: 16770251
4 18 | C: 0x5c5a48 Ref: 16770251
12 28 | C: 0x244338 Ref: 0x488DD8
13 28 | C: 0x213f35 Ref: 0x488DD8
14 28 | C: 0x1d3d2f Ref: 0x488DD8
15 28 | C: 0x214130 Ref: 0x488DD8
5 18 | C: 0x5d5a4a Ref: 16770251
6 18 | C: 0x605b4a Ref: 16770251
7 18 | C: 0x7d765e Ref: 16770251
8 18 | C: 0x7b765d Ref: 16770251
9 18 | C: 0x7b765d Ref: 16770251
16 28 | C: 0x244331 Ref: 0x488DD8
17 28 | C: 0x213f2d Ref: 0x488DD8
18 28 | C: 0x133526 Ref: 0x488DD8
19 28 | C: 0x0c2f1d Ref: 0x488DD8
16 18 | C: 0x5b5b5b Ref: 16770251
17 18 | C: 0x645f5d Ref: 16770251
18 18 | C: 0xcf8b71 Ref: 16770251
19 18 | C: 0xdb9074 Ref: 16770251
20 18 | C: 0xdb9074 Ref: 16770251
17 29 | C: 0x1f3d2d Ref: 0x488DD8
18 29 | C: 0x193a2a Ref: 0x488DD8
19 29 | C: 0x113423 Ref: 0x488DD8
20 29 | C: 0x0e3020 Ref: 0x488DD8
21 18 | C: 0xb5806c Ref: 16770251
22 18 | C: 0x5b5b5b Ref: 16770251
23 18 | C: 0x5b5b5b Ref: 16770251
24 18 | C: 0x5b5b5b Ref: 16770251
13 30 | C: 0x143228 Ref: 0x488DD8
14 30 | C: 0x143127 Ref: 0x488DD8
15 30 | C: 0x0f2f20 Ref: 0x488DD8
16 30 | C: 0x173b2a Ref: 0x488DD8
25 18 | C: 0x5b5b5b Ref: 16770251
26 18 | C: 0x5b5b5b Ref: 16770251
27 18 | C: 0x5b5b5b Ref: 16770251
28 18 | C: 0x64635b Ref: 16770251
17 30 | C: 0x213f2d Ref: 0x488DD8
18 30 | C: 0x234130 Ref: 0x488DD8
19 30 | C: 0x193a2a Ref: 0x488DD8
